vals,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std
1.3167549281062128,0.4262312845760083,0.045995274009921726,0.16366501925919813,0.07088196039152844,0.041868700696384376,0.005764936864958982,0.8683212200674977,0.06126854731418837,1.8673518395191369,0.028562839382754945,3.8934879812321426,0.11368412265859582
1.2775068435246986,0.4360926424402479,0.04492878628090612,0.17213862828947937,0.06642417251275058,0.049814035755806396,0.005724359792537177,0.87297169845931,0.06171008441812161,1.8727208859390916,0.026871836618472207,3.9152994163432453,0.11203509535232016
1.239428613796535,0.446459462791001,0.04733580179784673,0.1758083145233452,0.07218075630656055,0.05859124833848013,0.007354104779559693,0.8777254558873034,0.06199679516027157,1.8785619718706905,0.02781586962998418,3.939386116506539,0.11160454670646786
1.202485369439745,0.4575996841761736,0.04898941491783535,0.17743471459442145,0.078484763758936,0.06784458537934199,0.008717925457246731,0.8824427538329547,0.06217909212356941,1.8844688198128974,0.025829017606389455,3.96478711884145,0.10557036223149763
1.166643280315627,0.46898542831274426,0.05021489319043888,0.18154409105930885,0.08016106697448921,0.07816505656445544,0.010697694627871618,0.8872767457658608,0.06278903503176632,1.8911398636419399,0.024313978568887135,3.993100068413862,0.10162241826572606
1.1318695246493875,0.4801232042026296,0.052057949410878775,0.18528559516722073,0.08516893664717926,0.08986917088407556,0.013045840900276169,0.8923371306035206,0.06309891107655827,1.898873835505362,0.025519718609856194,4.025154202993745,0.10163914770841576
1.0981322589741653,0.49116958625564233,0.05173047069003529,0.19452464566683106,0.0796085945632305,0.10306149970541323,0.014097782666674108,0.8974562458895556,0.06339304375271763,1.9079487572438851,0.024951711534341198,4.06132086405826,0.09961458583774715
1.0654005889709293,0.5035282939092546,0.052857196242032875,0.19549510435511736,0.08704454590615215,0.1166172837343149,0.015434920271291326,0.9027046129569201,0.06397958225530381,1.9166883390327851,0.02676872379384554,4.098415761747655,0.10206935299318888
1.0336445411775372,0.5136586533916819,0.05379147562359427,0.20565191907562191,0.08756772257329147,0.13359109243677114,0.01614893641634187,0.9084970171742267,0.06461464701790015,1.9289525832291605,0.0270642893849011,4.144705432254282,0.09878565983695828
1.0028350355410531,0.5222799835995697,0.05432661649207796,0.2255358712996481,0.07184392420288123,0.15362314036130506,0.01766832318225411,0.9146113271716091,0.06522955946251373,1.944142486268816,0.028299609162236488,4.199161491507134,0.0980620522964247
0.9729438587881941,0.5330653736687014,0.05389351315526797,0.2353935057147735,0.072841044224132,0.17351798433354299,0.01727364059026176,0.9206673596538802,0.06617006481434141,1.9582261404768597,0.028277056011925122,4.25313273175646,0.10097072971976592
0.9439436385895095,0.5412984068752207,0.055392297841469366,0.25267115012076213,0.06701012484212343,0.19749038197156504,0.018972640351730328,0.927155867351218,0.06692902214266001,1.9762805208681473,0.027444531657130712,4.31774811326518,0.0971040149369521
