alphas,w_mean,w_std,v_mean,v_std,tau_mean,tau_std,hat_w_mean,hat_w_std,hat_v_mean,hat_v_std,hat_tau_mean,hat_tau_std
3.2421923783258464,0.03835083568382572,0.011933272294234448,0.03356219669542323,0.007741244905921228,0.002542866334921155,0.0005284420050462724,0.7648439892098514,0.08207985882099311,1.9204198878766114,0.035593460316180325,3.75674687716445,0.13064880135417406
3.1748021039363987,0.04104586752307013,0.01237949548208971,0.03482784886675194,0.008417691174890723,0.002715650643207608,0.000541429490380294,0.7655084575758454,0.0820027863575264,1.9194747719877439,0.03571550831935272,3.7571869123470725,0.13072555284217807
3.1088125635418384,0.043869212903697524,0.012807356156620537,0.03599462984658231,0.009373747012521598,0.002883518510166638,0.0005586932809743926,0.7661883058064474,0.08195256469725787,1.9184793282560677,0.035827052161266436,3.7576141497689144,0.1308109441763511
3.0441946423219304,0.04680118162888984,0.013202382775450307,0.03730648683715188,0.009708834583995752,0.0030556065129413623,0.0005813491939679003,0.766895818035655,0.08184342203284421,1.9174433161736153,0.03590751369660278,3.758053166428659,0.13084332083333064
2.9809198306197047,0.049833737294435874,0.013663385995072637,0.03862865844666418,0.010035129825497485,0.003212374768262321,0.0005676265964696357,0.7676087002693366,0.08171629315606839,1.9163622751236755,0.03599754757551595,3.7584517712366146,0.13088317816610553
2.9189602113628923,0.052983384066533086,0.014157156038942149,0.039813278907852946,0.010708902136393443,0.003363333635682826,0.0005896146736490175,0.7683459036673403,0.08162553614706097,1.9152399756529397,0.036128014982770955,3.7588346033838396,0.13102672505311083
2.8582884477468173,0.056203758018576834,0.014572356775665441,0.04094307236883874,0.011685354321900715,0.0035277352654340087,0.0006296195714291775,0.7691098707842358,0.0815191071964956,1.9141072331756213,0.03618142482134125,3.7592523922289844,0.13106073713887129
2.7988777711732986,0.05951355177463635,0.015052550840952066,0.04222215005464806,0.012163053827746479,0.0036856683605003566,0.0006200248260863356,0.769879445864736,0.08138972660126238,1.9129418295705252,0.036237981773473676,3.7596542887322464,0.13108316508003354
2.7407019694402477,0.06292137651510701,0.01552091198295196,0.04346055470648884,0.01270023335439913,0.003847888581117874,0.0007068051305070105,0.7706693257371546,0.08132022349975064,1.9117527100248624,0.036357063911868624,3.760064844758794,0.1312533984292937
2.6837353751767545,0.06638493025012093,0.01591115524635281,0.044745641157808026,0.013243773135098946,0.004034542917666545,0.0007313915019816739,0.7714837521146184,0.08122559180187333,1.910568614780164,0.03637377302766335,3.7605394077174554,0.1312444084593378
